elapsed_seconds,power_watts,gpu_clock_mhz,mem_clock_mhz,temperature_c
8.334,367.32,1410,1215,49
8.344,367.32,1410,1215,49
8.354,367.32,1410,1215,49
8.365,367.32,1410,1215,49
8.375,367.32,1410,1215,49
8.385,367.32,1410,1215,49
8.395,367.32,1410,1215,49
8.405,365.92,1410,1215,49
8.416,365.92,1410,1215,49
8.426,365.92,1410,1215,49
8.436,365.92,1410,1215,49
8.446,365.92,1410,1215,49
8.456,365.92,1410,1215,49
8.467,365.92,1410,1215,49
8.477,365.92,1410,1215,49
8.487,365.92,1410,1215,49
8.497,365.32,1410,1215,49
8.507,365.32,1410,1215,49
8.517,365.32,1410,1215,49
8.528,365.32,1410,1215,49
8.538,365.32,1410,1215,49
8.548,365.32,1410,1215,49
8.558,365.32,1410,1215,49
8.568,365.32,1410,1215,49
8.579,365.32,1410,1215,49
8.589,365.32,1410,1215,49
8.599,366.78,1410,1215,49
8.609,366.78,1410,1215,49
8.619,366.78,1410,1215,49
8.629,366.78,1410,1215,49
8.64,366.78,1410,1215,49
8.65,366.78,1410,1215,49
8.66,366.78,1410,1215,49
8.67,366.78,1410,1215,49
8.68,366.78,1410,1215,49
8.691,366.78,1410,1215,49
8.701,366.19,1410,1215,49
8.711,366.19,1410,1215,49
8.721,366.19,1410,1215,49
8.731,366.19,1410,1215,49
8.741,366.19,1410,1215,49
